local;type;surface;nb_piece;prix
2070;0;230;5;1700.0
4180;0;320;4;1500.0
2070;0;250;4;4000.0
2070;0;360;4;2000.0
4116;0;600;2;600.0
8000;0;150;3;2001.0
2070;1;250;2;4500.0
2070;1;65;1;1000.0
2070;1;230;3;1300.0
2070;1;220;3;6000.0
2015;1;140;2;1700.0
2070;1;200;3;1600.0
2070;1;300;4;4500.0
2070;1;120;2;2700.0
2036;1;105;2;950.0
2036;1;120;3;850.0
2070;1;150;3;950.0
2091;1;129;4;950.0
2070;1;50;1;1500.0
2070;1;180;3;1200.0
2091;1;200;4;2000.0
2070;1;180;3;2500.0
2070;1;160;3;3800.0
2070;1;65;1;900.0
2070;1;220;4;2100.0
2070;1;160;3;1800.0
2070;1;180;3;7000.0
2016;1;40;1;1300.0
2070;1;200;4;4800.0
2070;1;100;2;1800.0
2070;1;50;1;1200.0
2070;1;140;2;2500.0
1082;1;190;2;1000.0
2070;1;110;2;1000.0
4004;1;120;2;950.0
2070;1;75;1;1500.0
2070;1;100;2;1250.0
2070;1;140;2;1500.0
2070;1;180;3;3500.0
2070;1;180;3;2000.0
2070;1;220;3;4500.0
2070;1;60;1;1500.0
2070;1;180;3;3800.0
2070;1;60;1;1200.0
2070;1;160;2;2400.0
2070;1;300;2;3800.0
8000;1;80;2;950.0
2015;1;125;2;1800.0
2015;1;90;2;1600.0
2070;1;90;2;2500.0
4004;1;76;1;1000.0
4004;1;70;1;700.0
4054;1;135;3;1150.0
4022;1;90;3;700.0
1082;1;140;4;1700.0
2070;1;100;2;1300.0
2091;1;110;3;1200.0
2070;1;130;2;1000.0
2016;1;110;1;1200.0
2070;1;150;3;5000.0
1082;1;113;3;2000.0
4004;1;95;2;950.0
2070;1;200;3;3800.0
2070;1;150;1;2500.0
2070;1;80;1;1600.0
2070;1;190;3;6000.0
2070;1;170;4;4400.0
2070;1;85;1;2000.0
2070;1;120;1;2000.0
2070;1;140;2;1600.0
2016;1;135;2;2600.0
2070;1;200;4;3500.0
2070;1;60;1;3000.0
2070;1;170;4;1500.0
2070;1;300;4;1300.0
1000;1;200;4;1300.0
1000;1;150;3;1200.0
2091;1;60;1;1100.0
2070;1;75;2;2500.0
2016;1;200;4;4900.0
2070;1;172;3;2200.0
2070;1;117;2;1200.0
2070;1;186;3;3500.0
2070;1;186;4;3000.0
2070;1;226;4;3500.0
2070;1;230;3;2000.0
1082;1;250;4;4200.0
2070;1;180;3;3100.0
2036;1;100;2;2500.0
4022;1;60;1;700.0
2016;1;90;2;1700.0
2070;1;150;2;1400.0
4054;1;115;3;1100.0
2070;1;130;3;2200.0
8000;1;170;4;1500.0
2015;1;76;1;1750.0
2015;1;200;4;2300.0
1082;1;150;2;2500.0
2091;1;380;4;5500.0
2091;1;350;3;6500.0
2070;1;300;3;4500.0
2015;1;74;1;1625.0
2070;1;150;3;2000.0
2070;1;137;2;2100.0
2070;1;300;4;6000.0
8050;1;130;2;1600.0
2070;1;110;2;850.0
2070;1;250;3;3200.0
